,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
3292,0.000671,https://api.spotify.com/v1/audio-analysis/1gyee1JuFFiP476LQpRMYU,0.509,238400,0.843,1gyee1JuFFiP476LQpRMYU,0.000803,1,0.348,-3.318,0,0.0488,0,140.055,3,https://api.spotify.com/v1/tracks/1gyee1JuFFiP476LQpRMYU,audio_features,spotify:track:1gyee1JuFFiP476LQpRMYU,0.332
3293,0.000281,https://api.spotify.com/v1/audio-analysis/6dRAAG4sB71NAtVCHJep7s,0.468,252360,0.851,6dRAAG4sB71NAtVCHJep7s,0.00483,11,0.0644,-3.617,1,0.0398,0,92.079,4,https://api.spotify.com/v1/tracks/6dRAAG4sB71NAtVCHJep7s,audio_features,spotify:track:6dRAAG4sB71NAtVCHJep7s,0.293
3294,5.64e-05,https://api.spotify.com/v1/audio-analysis/0J39Z0d8WCrHdFFlF9Xxbu,0.458,316733,0.829,0J39Z0d8WCrHdFFlF9Xxbu,0.000143,2,0.21,-6.253,1,0.0357,0,155.759,4,https://api.spotify.com/v1/tracks/0J39Z0d8WCrHdFFlF9Xxbu,audio_features,spotify:track:0J39Z0d8WCrHdFFlF9Xxbu,0.451
3295,0.000112,https://api.spotify.com/v1/audio-analysis/3tymis9xNzV5MQSrDn8qU4,0.317,294600,0.877,3tymis9xNzV5MQSrDn8qU4,1.5e-06,2,0.0757,-6.027,1,0.0505,0,146.325,4,https://api.spotify.com/v1/tracks/3tymis9xNzV5MQSrDn8qU4,audio_features,spotify:track:3tymis9xNzV5MQSrDn8qU4,0.258
3296,0.686,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,0.654,252240,0.506,54eZmuggBFJbV7k248bTTt,0.0155,11,0.155,-17.18,0,0.0535,0,123.179,4,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,audio_features,spotify:track:54eZmuggBFJbV7k248bTTt,0.831
3297,0.388,https://api.spotify.com/v1/audio-analysis/0AfIsqZ4gTUg9CwwW2jLeK,0.272,240400,0.281,0AfIsqZ4gTUg9CwwW2jLeK,2.29e-05,1,0.158,-7.634,1,0.0287,0,89.914,4,https://api.spotify.com/v1/tracks/0AfIsqZ4gTUg9CwwW2jLeK,audio_features,spotify:track:0AfIsqZ4gTUg9CwwW2jLeK,0.141
3298,0.0134,https://api.spotify.com/v1/audio-analysis/4x3SQvTgvqSTU3nOL1urZh,0.473,232800,0.643,4x3SQvTgvqSTU3nOL1urZh,0.0,4,0.16,-4.67,1,0.0293,0,82.95,4,https://api.spotify.com/v1/tracks/4x3SQvTgvqSTU3nOL1urZh,audio_features,spotify:track:4x3SQvTgvqSTU3nOL1urZh,0.0781
3299,0.000295,https://api.spotify.com/v1/audio-analysis/1eK4KsyjAzr2xJ86Tj5SWa,0.592,175027,0.932,1eK4KsyjAzr2xJ86Tj5SWa,7.59e-05,6,0.138,-4.491,0,0.0885,0,93.675,4,https://api.spotify.com/v1/tracks/1eK4KsyjAzr2xJ86Tj5SWa,audio_features,spotify:track:1eK4KsyjAzr2xJ86Tj5SWa,0.698
3300,0.626,https://api.spotify.com/v1/audio-analysis/3e0FzZjTXOUtiJGSClOBrI,0.528,282693,0.737,3e0FzZjTXOUtiJGSClOBrI,0.00911,9,0.325,-12.703,0,0.121,0,99.361,4,https://api.spotify.com/v1/tracks/3e0FzZjTXOUtiJGSClOBrI,audio_features,spotify:track:3e0FzZjTXOUtiJGSClOBrI,0.632
3301,0.0255,https://api.spotify.com/v1/audio-analysis/3i34id9SUt1vi2LxjPJxuQ,0.809,292600,0.716,3i34id9SUt1vi2LxjPJxuQ,0.00344,1,0.0493,-6.725,1,0.0945,0,99.724,4,https://api.spotify.com/v1/tracks/3i34id9SUt1vi2LxjPJxuQ,audio_features,spotify:track:3i34id9SUt1vi2LxjPJxuQ,0.689
3302,0.883,https://api.spotify.com/v1/audio-analysis/6KBMXvbMnhCzuTabTXIVxu,0.7,191933,0.278,6KBMXvbMnhCzuTabTXIVxu,0.542,8,0.191,-12.723,1,0.135,0,144.888,4,https://api.spotify.com/v1/tracks/6KBMXvbMnhCzuTabTXIVxu,audio_features,spotify:track:6KBMXvbMnhCzuTabTXIVxu,0.511
3303,0.00711,https://api.spotify.com/v1/audio-analysis/4BKgHeBlyVFMgAjlyYlm3F,0.639,209173,0.945,4BKgHeBlyVFMgAjlyYlm3F,4.96e-06,7,0.33,-2.654,1,0.0641,0,94.118,4,https://api.spotify.com/v1/tracks/4BKgHeBlyVFMgAjlyYlm3F,audio_features,spotify:track:4BKgHeBlyVFMgAjlyYlm3F,0.735
3304,0.00577,https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX,0.706,259333,0.801,1D1nixOVWOxvNfWi0UD7VX,0.0,5,0.0822,-6.333,1,0.0399,0,100.013,4,https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX,audio_features,spotify:track:1D1nixOVWOxvNfWi0UD7VX,0.63
3305,0.36,https://api.spotify.com/v1/audio-analysis/37kFRYnCmDvELZ4toNsJyE,0.548,255200,0.428,37kFRYnCmDvELZ4toNsJyE,0.0,0,0.186,-11.41,1,0.072,0,144.465,4,https://api.spotify.com/v1/tracks/37kFRYnCmDvELZ4toNsJyE,audio_features,spotify:track:37kFRYnCmDvELZ4toNsJyE,0.724
3306,0.0416,https://api.spotify.com/v1/audio-analysis/1YLJVmuzeM2YSUkCCaTNUB,0.492,251840,0.81,1YLJVmuzeM2YSUkCCaTNUB,0.00379,7,0.117,-5.315,1,0.0847,0,149.954,4,https://api.spotify.com/v1/tracks/1YLJVmuzeM2YSUkCCaTNUB,audio_features,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,0.245
3307,0.00455,https://api.spotify.com/v1/audio-analysis/6u9RqxALwkjJ1ukB1y8vuP,0.574,168667,0.704,6u9RqxALwkjJ1ukB1y8vuP,0.0,6,0.107,-4.72,1,0.0319,0,109.999,4,https://api.spotify.com/v1/tracks/6u9RqxALwkjJ1ukB1y8vuP,audio_features,spotify:track:6u9RqxALwkjJ1ukB1y8vuP,0.368
3308,0.00147,https://api.spotify.com/v1/audio-analysis/20NEld0MhrR4Zpgrf9brq8,0.564,234526,0.923,20NEld0MhrR4Zpgrf9brq8,0.0,9,0.277,-3.843,0,0.0325,0,141.991,4,https://api.spotify.com/v1/tracks/20NEld0MhrR4Zpgrf9brq8,audio_features,spotify:track:20NEld0MhrR4Zpgrf9brq8,0.587
3309,0.000659,https://api.spotify.com/v1/audio-analysis/098lPAWl2OmsCx64TXH5OQ,0.537,257307,0.736,098lPAWl2OmsCx64TXH5OQ,0.00281,10,0.15,-4.721,0,0.0284,0,113.933,4,https://api.spotify.com/v1/tracks/098lPAWl2OmsCx64TXH5OQ,audio_features,spotify:track:098lPAWl2OmsCx64TXH5OQ,0.227
3310,0.861,https://api.spotify.com/v1/audio-analysis/0xHCBEJMWZjxM0wUz0X7MG,0.764,148563,0.24,0xHCBEJMWZjxM0wUz0X7MG,0.00681,0,0.101,-11.229,1,0.104,0,76.019,4,https://api.spotify.com/v1/tracks/0xHCBEJMWZjxM0wUz0X7MG,audio_features,spotify:track:0xHCBEJMWZjxM0wUz0X7MG,0.524
3311,0.00417,https://api.spotify.com/v1/audio-analysis/3dOAXUx7I1qnzWzxdnsyB8,0.356,193653,0.872,3dOAXUx7I1qnzWzxdnsyB8,0.00975,2,0.0997,-7.837,1,0.068,0,166.3,4,https://api.spotify.com/v1/tracks/3dOAXUx7I1qnzWzxdnsyB8,audio_features,spotify:track:3dOAXUx7I1qnzWzxdnsyB8,0.607
3312,0.604,https://api.spotify.com/v1/audio-analysis/0EqtsCvcDjEz6svFsaV5HN,0.616,274493,0.346,0EqtsCvcDjEz6svFsaV5HN,0.00232,10,0.0914,-10.438,1,0.0304,0,143.351,4,https://api.spotify.com/v1/tracks/0EqtsCvcDjEz6svFsaV5HN,audio_features,spotify:track:0EqtsCvcDjEz6svFsaV5HN,0.344
3313,0.719,https://api.spotify.com/v1/audio-analysis/5ZyVc23cCY8F7Vw4AEk20P,0.57,295480,0.314,5ZyVc23cCY8F7Vw4AEk20P,2.8e-06,3,0.116,-13.646,1,0.0305,0,98.149,4,https://api.spotify.com/v1/tracks/5ZyVc23cCY8F7Vw4AEk20P,audio_features,spotify:track:5ZyVc23cCY8F7Vw4AEk20P,0.454
